2017-01-17 13:49:16,225 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:49:16,238 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\main\resources
2017-01-17 13:49:16,241 [Worker-117] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:49:16,249 [Worker-117] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\test\resources
2017-01-17 13:49:41,699 [Worker-117] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IntegrationEngine:IntegrationEngine:0.0.1-SNAPSHOT @ C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\pom.xml.
2017-01-17 13:49:42,161 [Worker-120] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/sf/saxon/saxon-dom//saxon-dom-.pom
2017-01-17 13:49:42,167 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon-dom:jar: is missing, no dependency information available
2017-01-17 13:49:58,808 [Worker-115] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IntegrationEngine:IntegrationEngine:0.0.1-SNAPSHOT @ C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\pom.xml.
2017-01-17 13:49:59,231 [Worker-115] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/sf/saxon/saxon-dom/9.1.0.2/saxon-dom-9.1.0.2.pom
2017-01-17 13:49:59,240 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon-dom:jar:9.1.0.2 is missing, no dependency information available
2017-01-17 13:49:59,609 [Worker-115] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/sf/saxon/saxon-dom/9.1.0.2/saxon-dom-9.1.0.2.jar
2017-01-17 13:49:59,676 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon-dom:jar:9.1.0.2 is missing, no dependency information available
2017-01-17 13:49:59,687 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon-dom:jar:9.1.0.2 is missing, no dependency information available
2017-01-17 13:49:59,793 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:49:59,800 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\main\resources
2017-01-17 13:49:59,802 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:49:59,809 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\src\test\resources
2017-01-17 13:50:16,434 [Worker-119] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-01-17 13:50:16,688 [Worker-119] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: IntegrationEngine:IntegrationEngine:0.0.1-SNAPSHOT @ C:\Work\eclipse\jee-neon\workspaces\Disertatie\IntegrationEngine\pom.xml.
2017-01-17 13:50:16,691 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon-dom:jar:9.1.0.2 is missing, no dependency information available
2017-01-17 13:50:16,792 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon-dom:jar:9.1.0.2 is missing, no dependency information available
2017-01-17 13:50:16,811 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.saxon:saxon-dom:jar:9.1.0.2 is missing, no dependency information available
2017-01-17 13:50:16,880 [Worker-119] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /IntegrationEngine/src
2017-01-17 13:50:16,885 [Worker-119] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /IntegrationEngine/src/test/java because it overlaps with /IntegrationEngine/src
2017-01-17 13:50:16,994 [Worker-119] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
